codigo_interno,valor,frequencia,ativo
1,SINALIZAÇÃO,2263,True
2,EQUIPAMENTO DE APOIO OPERACIONAL,298,True
3,ENERGIA,230,True
4,TELECOMUNICAÇÕES,129,True
5,REDE,55,True
