codigo_interno,valor,frequencia,ativo
1,Material,286,True
2,Nada Constatado,83,True
3,Mão de Obra,56,True
4,Meio Ambiente,32,True
5,Inconclusivo,28,True
6,Método,14,True
7,Falha Operacional,5,True
