codigo_interno,valor,frequencia,ativo
1,-,148,True
2,Recuperável PI,143,True
3,Não Recuperável,143,True
4,GEE.VP.FTA,26,True
5,TERCEIROS,8,True
6,GEE.SP.IPG,7,True
7,Inexistente,6,True
8,GEE.VP.FAN,6,True
9,Inadequado,5,True
10,GEE.SP.IPA,5,True
11,GEE.VP.FPI,4,True
12,Vencido,3,True
