codigo_interno,valor,frequencia,ativo
1,Sinalização,243,True
2,Nada Constatado,83,True
3,-,33,True
4,Diagnóstico,32,True
5,Fenômeno Natural,32,True
6,Telecomunicações,28,True
7,Atitude,24,True
8,Escopo,13,True
9,Energia,8,True
10,Waysides,7,True
11,Procedimento,1,True
