codigo_interno,valor,frequencia,ativo
1,CCM-FALHA,2629,True
2,CCM-DEFEITO,400,True
3,VANDALISMO,310,True
4,INTERFERÊNCIA OUTRO ATIVO,285,True
5,FALHA CAUSA OPERAÇÃO,131,True
6,ACIDENTE,119,True
7,MANUAL,99,True
8,CON-DEFEITO,6,True
9,INSPEÇÃO,4,True
10,-,1,True
